,smiles,E1-CC2,E2-CC2,f1-CC2,f2-CC2,E1-PBE0,E2-PBE0,f1-PBE0,f2-PBE0,E1-PBE0.1,E2-PBE0.1,f1-PBE0.1,f2-PBE0.1,E1-CAM,E2-CAM,f1-CAM,f2-CAM,mol_id
7976,[H]C(=O)N([H])C1([H])C([H])([H])C(=O)C1([H])[H],0.16021927,0.2158766,1.174e-05,0.00088111,0.15539205,0.21199047,1.875e-05,0.00068046,0.15539205,0.21199047,1.875e-05,0.00068046,0.15643453,0.21065448,0.0,0.0011,7976
17700,[H]C1([H])OC([H])([H])C2([H])C([H])([H])C([H])([H])C2([H])O1,0.27688032,0.29096363,0.00936694,0.07795702,0.28723515,0.29841667,0.0146549,0.04770493,0.28723515,0.29841667,0.0146549,0.04770493,0.28633237,0.29792311,0.0152,0.0618,17700
19759,[H]C1([H])N(C(=O)C2([H])C([H])([H])C2([H])[H])C1([H])[H],0.19625924,0.24766507,0.00985625,0.21353051,0.19454978,0.25122787,0.00652892,0.23023202,0.19454978,0.25122787,0.00652892,0.23023202,0.19574528,0.253122,0.0059,0.2068,19759
6428,[H]C(=O)C([H])([H])C#CC(=O)N([H])[H],0.16429213,0.1900005,0.00084296,0.00034791,0.15814958,0.17889991,0.00166191,0.00075692,0.15814958,0.17889991,0.00166191,0.00075692,0.15834549,0.1849667,0.0008,0.0003,6428
17871,[H]C(=O)C1([H])C([H])([H])C([H])([H])C2([H])C([H])([H])C12[H],0.16153546,0.27561396,0.00017088,0.04161221,0.15560701,0.24541261,0.00024121,0.04090803,0.15560701,0.24541261,0.00024121,0.04090803,0.15655213,0.26462087,0.0001,0.0461,17871
15081,[H]C([H])([H])C([H])([H])C([H])([H])C1([H])C([H])([H])C1([H])C([H])([H])C([H])([H])[H],0.29448406,0.30327208,0.00937621,0.00383374,0.30042292,0.30764723,0.01050757,0.00110016,0.30042292,0.30764723,0.01050757,0.00110016,0.29079741,0.29856622,0.0069,0.0017,15081
17397,[H]C([H])([H])C12OC3([H])C4([H])N(C31[H])C42[H],0.24713365,0.25140168,0.0306428,0.00375964,0.26651663,0.27468692,0.01437351,0.00206501,0.26651663,0.27468692,0.01437351,0.00206501,0.26012642,0.26983927,0.0265,0.0018,17397
9892,[H]N(C([H])([H])C([H])([H])[H])C([H])(C#N)C([H])([H])C([H])([H])[H],0.2421967,0.27514652,0.00390039,0.05638619,0.23465621,0.25138409,0.00290854,0.01360116,0.23465621,0.25138409,0.00290854,0.01360116,0.23985917,0.26893524,0.0021,0.026,9892
16618,[H]C([H])([H])C1([H])C2([H])OC([H])([H])C([H])(O2)C1([H])[H],0.27637333,0.29254636,0.01125601,0.01324244,0.28659012,0.30573927,0.01611291,0.00643252,0.28659012,0.30573927,0.01611291,0.00643252,0.28621845,0.30336568,0.0144,0.0135,16618
12792,[H]C([H])([H])C([H])([H])C([H])([H])C1([H])C(=O)OC1([H])[H],0.22368996,0.28590189,0.00117374,0.06588958,0.21684769,0.29322379,0.00200698,0.04564645,0.21684769,0.29322379,0.00200698,0.04564645,0.21673282,0.29364181,0.0012,0.0555,12792
812,[H]C(=O)C(F)(F)F,0.160546,0.3252711,8.8e-07,0.06505518,0.15108093,0.31215222,3.25e-06,0.00191036,0.15108093,0.31215222,3.25e-06,0.00191036,0.1524656,0.31974853,0.0,0.0009,812
15245,[H]N1C([H])([H])C([H])([H])C([H])(N([H])[H])C1([H])C#N,0.22470042,0.24651423,0.00047586,0.01033322,0.22565625,0.22927804,0.00118809,0.00174659,0.22565625,0.22927804,0.00118809,0.00174659,0.22553428,0.24245,0.0004,0.0053,15245
4191,[H]N=c1nc([H])oc(O[H])c1[H],0.18789926,0.22518788,0.03502674,0.34027055,0.17283689,0.18648024,0.02023223,0.00406845,0.17283689,0.18648024,0.02023223,0.00406845,0.1839708,0.19966643,0.0266,0.0073,4191
19061,[H]OC1([H])C2([H])OC2([H])C12OC2([H])[H],0.25238131,0.27123991,0.0069821,0.00202127,0.26461235,0.27363239,0.00300325,0.0012029,0.26461235,0.27363239,0.00300325,0.0012029,0.26044982,0.27697967,0.0052,0.0017,19061
6871,[H]N(C(=O)C([H])([H])C#N)C([H])([H])C([H])([H])[H],0.22205639,0.26493338,0.00040345,0.19419861,0.21900733,0.25848894,0.00066658,0.00054683,0.21900733,0.25848894,0.00066658,0.00054683,0.21917298,0.2698797,0.0004,0.172,6871
8637,[H]OC([H])([H])C([H])(O[H])C([H])(C#N)N([H])[H],0.25375288,0.27712328,0.03485178,0.00222268,0.24446992,0.27271104,0.02319287,0.01441112,0.24446992,0.27271104,0.02319287,0.01441112,0.24629765,0.27430799,0.0281,0.0012,8637
9362,[H]C#CC1(O[H])C([H])([H])C1([H])OC([H])([H])[H],0.23093296,0.26220298,0.00644294,0.08989995,0.21363711,0.24272369,0.00294216,0.05960067,0.21363711,0.24272369,0.00294216,0.05960067,0.21307626,0.23922341,0.002,0.035,9362
15610,[H]C#CC1([H])C([H])([H])C([H])([H])C12OC2([H])[H],0.26024122,0.27179655,0.00310264,0.01573808,0.24059259,0.25231009,0.00140087,0.0105885,0.24059259,0.25231009,0.00140087,0.0105885,0.23555215,0.24573171,0.0002,0.0078,15610
10722,[H]OC12C([H])=C([H])C([H])(C([H])([H])[H])C1([H])C2([H])[H],0.23720886,0.25632328,0.09117031,0.00970124,0.22668882,0.24095564,0.08338472,0.00323711,0.22668882,0.24095564,0.08338472,0.00323711,0.22882335,0.25540781,0.1071,0.0103,10722
12947,[H]C([H])([H])C#CC([H])([H])C1([H])C([H])([H])OC1([H])[H],0.25845672,0.26913353,0.00037714,0.01181727,0.24316637,0.25323018,7.81e-06,0.00331018,0.24316637,0.25323018,7.81e-06,0.00331018,0.24119685,0.25002404,0.0,0.0017,12947
21517,[H]c1oc(F)nc(=O)c1[H],0.1684073,0.20353872,1.96e-06,0.00024909,0.15939237,0.19744998,8.54e-06,8.313e-05,0.15939237,0.19744998,8.54e-06,8.313e-05,0.16814286,0.21312771,0.0,0.0009,21517
8468,[H]C(=O)N(C(=O)C#N)C([H])([H])[H],0.16660442,0.19464496,0.00012338,0.00042141,0.15573885,0.1836802,0.00027941,0.00015654,0.15573885,0.1836802,0.00027941,0.00015654,0.1632993,0.18860489,0.0002,0.0004,8468
16246,[H]OC1([H])C(=O)C2([H])N(C([H])([H])[H])C12[H],0.15601834,0.21694005,0.00220985,0.01684066,0.14894603,0.1996033,0.00163775,0.00388734,0.14894603,0.1996033,0.00163775,0.00388734,0.15333289,0.2178353,0.0013,0.0057,16246
20329,[H]OC([H])([H])c1nc(C([H])([H])[H])n([H])n1,0.24429033,0.25275816,0.00632858,0.04838377,0.23698946,0.24077276,0.0060381,0.00760954,0.23698946,0.24077276,0.0060381,0.00760954,0.24581991,0.25509544,0.0065,0.1089,20329
9448,[H]C(=O)C1(C([H])([H])[H])OC([H])([H])OC1([H])[H],0.15896469,0.24710525,0.00038905,0.00771578,0.15274915,0.21446419,0.00061898,0.00359564,0.15274915,0.21446419,0.00061898,0.00359564,0.15425529,0.24020094,0.0003,0.0046,9448
14340,[H]C(=NC([H])([H])C([H])([H])C#N)OC([H])([H])[H],0.22558074,0.26045675,0.00087578,0.42981022,0.2163601,0.26174308,0.00107302,0.43832305,0.2163601,0.26174308,0.00107302,0.43832305,0.21709664,0.25677489,0.0007,0.3993,14340
6714,[H]OC1(C([H])([H])[H])C([H])([H])C1([H])C([H])([H])OC([H])([H])[H],0.2638743,0.27060739,0.00720891,0.04612321,0.27537201,0.28221974,0.00427568,0.06623972,0.27537201,0.28221974,0.00427568,0.06623972,0.26241591,0.27604256,0.0043,0.0493,6714
14093,[H]OC12C([H])([H])C3([H])C([H])=C([H])C1([H])C32[H],0.21339886,0.24682907,0.05829172,0.00314257,0.20782231,0.23658008,0.05544066,0.00455399,0.20782231,0.23658008,0.05544066,0.00455399,0.20800853,0.24383545,0.0633,0.0027,14093
1719,[H]OC1(C#N)C([H])([H])C1([H])N([H])[H],0.23698059,0.26317563,0.01948778,0.01037112,0.21850299,0.25164289,0.00829963,0.15187318,0.21850299,0.25164289,0.00829963,0.15187318,0.22640157,0.2517439,0.0086,0.0095,1719
18177,[H]C([H])([H])OC([H])([H])C1([H])OC2([H])C([H])([H])C12[H],0.25814018,0.27330181,0.00516724,0.02876618,0.26604318,0.28477636,0.00279789,0.04091544,0.26604318,0.28477636,0.00279789,0.04091544,0.26459147,0.27785062,0.004,0.0294,18177
16111,[H]C1=C([H])C2(C([H])([H])[H])C3([H])C([H])([H])C2([H])C13[H],0.21216858,0.27222297,0.04088801,0.03935138,0.20382371,0.26655038,0.03409605,0.0001118,0.20382371,0.26655038,0.03409605,0.0001118,0.20220949,0.27006344,0.0443,0.0344,16111
11062,[H]OC([H])([H])C1=C([H])C([H])([H])C([H])(C([H])([H])[H])C1([H])[H],0.25944742,0.26608524,0.00221692,0.01376141,0.25561912,0.25879446,0.31254185,0.01058822,0.25561912,0.25879446,0.31254185,0.01058822,0.24981824,0.2519938,0.0065,0.2917,11062
491,[H]C(=O)N([H])C([H])([H])C([H])=O,0.16105542,0.2160124,0.00077821,0.00083712,0.15457386,0.20740379,0.00088344,0.00292231,0.15457386,0.20740379,0.00088344,0.00292231,0.15515933,0.21026862,0.0006,0.001,491
10902,[H]C(=O)C1([H])C([H])([H])C(=O)N([H])C1([H])[H],0.16271453,0.21444009,2.134e-05,0.00071467,0.15626963,0.20284613,1.049e-05,0.0018841,0.15626963,0.20284613,1.049e-05,0.0018841,0.15708499,0.21091173,0.0,0.0007,10902
2929,[H]OC([H])(C([H])=O)C1([H])C([H])([H])C1([H])[H],0.17067847,0.24293856,0.00060026,0.0227743,0.16560994,0.20992311,0.00093718,0.01418318,0.16560994,0.20992311,0.00093718,0.01418318,0.16597833,0.23117531,0.0005,0.0159,2929
15741,[H]C#CC12N([H])C1([H])C([H])=C([H])C2([H])[H],0.22138232,0.25245519,0.07633323,0.00509244,0.20744424,0.23010157,0.0574356,0.00125835,0.20744424,0.23010157,0.0574356,0.00125835,0.21797127,0.23053587,0.0787,0.0076,15741
15879,[H]C1([H])OC(=O)C2(O1)C([H])([H])C2([H])[H],0.22059798,0.25233323,0.00438691,0.11964962,0.2139434,0.23775468,0.00625469,0.09004636,0.2139434,0.23775468,0.00625469,0.09004636,0.21558624,0.24971167,0.0032,0.1065,15879
13788,[H]OC([H])(C([H])([H])[H])C12N(C([H])([H])C1([H])[H])C2([H])[H],0.24943559,0.26431766,0.00170071,0.01725842,0.25754441,0.27474347,0.00481104,0.00618125,0.25754441,0.27474347,0.00481104,0.00618125,0.25802069,0.26761961,0.0029,0.014,13788
4097,[H]ON=C1C([H])([H])C2([H])C([H])([H])OC12[H],0.21148755,0.22480067,0.01456304,0.01670699,0.20142079,0.21533149,0.00770725,0.00437292,0.20142079,0.21533149,0.00770725,0.00437292,0.21070593,0.22712186,0.0055,0.0115,4097
4115,[H]ON=C1C2([H])OC([H])([H])C1([H])C2([H])[H],0.20981361,0.24733951,0.00073421,0.18427365,0.20160034,0.24278966,0.0010717,0.02258412,0.20160034,0.24278966,0.0010717,0.02258412,0.21141519,0.25143153,0.0017,0.1791,4115
2145,[H]OC1([H])C(=O)N(C([H])([H])[H])C1([H])[H],0.21722474,0.25348969,0.00136012,0.17973779,0.21008431,0.26078327,0.00166011,0.14203921,0.21008431,0.26078327,0.00166011,0.14203921,0.21169081,0.25805744,0.001,0.1451,2145
7721,[H]C1=C(C([H])([H])[H])C([H])(C([H])([H])[H])OC1([H])C([H])([H])[H],0.23186048,0.26287782,0.10244718,0.00287138,0.22304806,0.26972314,0.10727203,0.0051536,0.22304806,0.26972314,0.10727203,0.0051536,0.23584982,0.26276135,0.1967,0.0032,7721
15286,[H]N=C1OC([H])([H])C([H])=C1C([H])([H])O[H],0.22192493,0.22492944,0.0020307,0.23506854,0.20680653,0.2170124,0.00199834,0.23081123,0.20680653,0.2170124,0.00199834,0.23081123,0.22007701,0.22304636,0.0017,0.3455,15286
12798,[H]C([H])([H])C([H])([H])OC1([H])C(=O)C([H])([H])C1([H])[H],0.15029918,0.24196719,0.00047854,0.00677452,0.14410456,0.22393089,0.000741,0.00292949,0.14410456,0.22393089,0.000741,0.00292949,0.14737582,0.24241325,0.0004,0.0033,12798
19966,[H]C#CC([H])([H])c1nc([H])no1,0.22993056,0.2652418,0.00590055,0.12645399,0.22009656,0.22839195,0.00676145,0.01022754,0.22009656,0.22839195,0.00676145,0.01022754,0.22890052,0.23878609,0.0053,0.0044,19966
15059,[H]OC([H])([H])C([H])([H])N1C([H])([H])C1([H])C#N,0.25428293,0.26510025,0.04913717,0.05518022,0.2355165,0.25128363,0.03031869,0.03277566,0.2355165,0.25128363,0.03031869,0.03277566,0.2435194,0.25975158,0.0331,0.045,15059
21608,[H]N=c1nc([H])c(F)c([H])o1,0.14326686,0.16216109,0.07526887,0.00272572,0.13969169,0.15553835,0.06099459,0.00200124,0.13969169,0.15553835,0.06099459,0.00200124,0.14483644,0.16204248,0.0744,0.0024,21608
16325,[H]OC1([H])C2([H])N(C2([H])[H])C([H])([H])C1([H])C([H])([H])[H],0.24670917,0.26447609,0.02356467,0.00366287,0.24745135,0.27409882,0.02489171,0.0092302,0.24745135,0.27409882,0.02489171,0.0092302,0.25598478,0.26596957,0.021,0.0018,16325
19762,[H]N1C([H])([H])C1([H])C(=O)N1C([H])([H])C1([H])[H],0.19575428,0.2335973,0.01619551,0.15654021,0.19458499,0.21508725,0.00899401,0.09688792,0.19458499,0.21508725,0.00899401,0.09688792,0.19549171,0.23178535,0.0089,0.1278,19762
5770,[H]C#CC([H])([H])C(OC([H])([H])[H])(C([H])([H])[H])C([H])([H])[H],0.26754685,0.2693896,0.00017007,0.00021139,0.24636481,0.25847631,5.178e-05,0.00585927,0.24636481,0.25847631,5.178e-05,0.00585927,0.23971217,0.25040623,0.0,0.0035,5770
5446,[H]c1c(N([H])C([H])([H])[H])c(C([H])([H])[H])c([H])n1[H],0.19967077,0.20596009,0.00030854,0.00033387,0.20942319,0.21433161,0.00091477,0.06349782,0.20942319,0.21433161,0.00091477,0.06349782,0.19982813,0.2055647,0.0005,0.0007,5446
9800,[H]OC([H])([H])C(=NC([H])([H])[H])N([H])C([H])=O,0.19608944,0.2218705,0.00143594,0.00021354,0.18772715,0.19622914,0.00120641,0.01939165,0.18772715,0.19622914,0.00120641,0.01939165,0.19171388,0.21635063,0.0014,0.0001,9800
20537,[H]Oc1c([H])c([H])nn1C([H])([H])C([H])([H])[H],0.22362209,0.24052304,0.00057227,0.07003894,0.23083606,0.24636524,0.00076566,0.07504146,0.23083606,0.24636524,0.00076566,0.07504146,0.21789043,0.24120052,0.0008,0.0859,20537
15319,[H]C1=C([H])C([H])([H])C([H])(OC([H])([H])[H])C1=O,0.13146602,0.22216546,0.00037527,0.0134439,0.12337908,0.1975007,0.00045751,0.00327425,0.12337908,0.1975007,0.00045751,0.00327425,0.13331185,0.22013948,0.0004,0.1217,15319
423,[H]C([H])([H])C1([H])OC([H])([H])C1([H])C([H])([H])[H],0.26485253,0.2699757,0.02475241,0.00390991,0.2766526,0.28533587,0.02459908,0.00263697,0.2766526,0.28533587,0.02459908,0.00263697,0.27398827,0.27890901,0.0128,0.0149,423
5998,[H]N1C(=O)N([H])C(C([H])([H])[H])(C([H])([H])[H])C1([H])[H],0.25217762,0.25499309,0.00212252,0.01085246,0.24881102,0.26506427,0.00096425,0.0128471,0.24881102,0.26506427,0.00096425,0.0128471,0.24758755,0.25805009,0.0014,0.0075,5998
13483,[H]OC([H])(C([H])([H])[H])C1([H])C([H])([H])C1([H])C([H])([H])C([H])([H])[H],0.27096099,0.29293858,0.02551725,0.00512484,0.28437953,0.29744599,0.01821239,0.00797432,0.28437953,0.29744599,0.01821239,0.00797432,0.27284169,0.28962143,0.0207,0.0046,13483
3739,[H]c1c(OC([H])([H])[H])nn([H])c1[H],0.224164,0.24330321,0.0692208,0.00197061,0.23121979,0.25492651,0.0710754,0.0015266,0.23121979,0.25492651,0.0710754,0.0015266,0.23163467,0.24484606,0.0835,0.0019,3739
11286,[H]N([H])C(=O)C([H])([H])C([H])([H])C1([H])OC1([H])[H],0.21661038,0.26108352,0.0003473,0.0282378,0.21416742,0.27788426,0.00077513,0.01569068,0.21416742,0.27788426,0.00077513,0.01569068,0.21349153,0.27181271,0.0003,0.0095,11286
18361,[H]OC1([H])C([H])([H])C([H])=C([H])C2([H])OC21[H],0.22940798,0.24007784,0.02003777,0.11785623,0.22116525,0.22654571,0.00018467,0.08774155,0.22116525,0.22654571,0.00018467,0.08774155,0.22950689,0.23922341,0.1512,0.0005,18361
5215,[H]c1nc([H])c(C([H])([H])C([H])([H])[H])c([H])n1,0.16164454,0.17721456,0.00513387,3.185e-05,0.15848125,0.17263491,0.00521678,3.238e-05,0.15848125,0.17263491,0.00521678,3.238e-05,0.16671331,0.18334238,0.0052,0.0,5215
3000,[H]N1C([H])([H])C1([H])C#CC([H])([H])C([H])([H])[H],0.24171479,0.26031825,0.03016486,0.07630589,0.2216656,0.23811499,0.01742557,0.0456684,0.2216656,0.23811499,0.01742557,0.0456684,0.22168296,0.23727569,0.0159,0.0188,3000
15782,[H]N1C([H])([H])C2([H])OC2(C#N)C1([H])[H],0.23630417,0.23842829,0.013252,0.00779806,0.2107162,0.23445973,0.00562162,0.03535713,0.2107162,0.23445973,0.00562162,0.03535713,0.23475837,0.23770934,0.012,0.0041,15782
4921,[H]c1c(C([H])([H])[H])c(C([H])([H])[H])c(N([H])[H])n1[H],0.21848556,0.23762241,0.0004411,0.00038806,0.22655075,0.23936266,0.00087167,0.02301001,0.22655075,0.23936266,0.00087167,0.02301001,0.21273449,0.23199482,0.0005,0.0004,4921
1765,[H]N=C1OC(=O)C([H])=C1[H],0.16139461,0.20730194,0.0006402,0.20881413,0.14912469,0.17964312,0.00106702,0.00156602,0.14912469,0.17964312,0.00106702,0.00156602,0.1635639,0.1945252,0.0006,0.0017,1765
21731,[H]C#CC([H])(O[H])C(F)(F)F,0.26519777,0.27904382,4.954e-05,0.00827098,0.24160829,0.25589802,0.00018153,0.00438409,0.24160829,0.25589802,0.00018153,0.00438409,0.23548968,0.24837399,0.0001,0.0029,21731
20691,[H]C#Cc1c([H])c([H])nn1C([H])([H])[H],0.21515176,0.2208006,0.11121485,0.27508208,0.20423463,0.21095941,0.24910463,0.01065934,0.20423463,0.21095941,0.24910463,0.01065934,0.2015921,0.21162467,0.2586,0.0029,20691
474,N#CC#CC#N,0.19210115,0.20010371,0.0,0.0,0.15720401,0.16537402,0.0,0.0,0.15720401,0.16537402,0.0,0.0,0.15728711,0.16455613,0.0,0.0,474
945,[H]Oc1c(C([H])([H])[H])c([H])c([H])n1[H],0.19766729,0.22383414,0.00039223,0.00128004,0.19726426,0.22724049,0.00022978,0.00068355,0.19726426,0.22724049,0.00022978,0.00068355,0.1894832,0.21757806,0.0003,0.0011,945
3184,[H]C1([H])C([H])([H])C1([H])OC1([H])C([H])([H])C1([H])[H],0.27938957,0.28504432,0.02674127,0.01059647,0.28603236,0.29311004,0.01525254,0.00927159,0.28603236,0.29311004,0.01525254,0.00927159,0.2832785,0.28801916,0.0162,0.0075,3184
1911,[H]C1([H])C(=O)C([H])([H])N1C([H])([H])C([H])([H])[H],0.16718879,0.191545,1.522e-05,0.00165672,0.16167822,0.17313654,2.429e-05,0.00050121,0.16167822,0.17313654,2.429e-05,0.00050121,0.16202043,0.19233127,0.0,0.0006,1911
6061,[H]C(=O)C(=O)N([H])C(=O)N([H])[H],0.12869233,0.19176355,3.285e-05,0.00042446,0.11913154,0.16384747,1.19e-06,0.00036611,0.11913154,0.16384747,1.19e-06,0.00036611,0.12447731,0.18721944,0.0,0.0005,6061
8956,[H]OC([H])([H])C([H])(C#CC([H])=O)C([H])([H])[H],0.14871354,0.20550665,0.0002262,0.00034357,0.13960164,0.1748742,0.00017584,0.00048384,0.13960164,0.1748742,0.00017584,0.00048384,0.14465269,0.17690023,0.0003,0.0003,8956
17583,[H]OC12C3=NC([H])([H])C1([H])C2([H])O3,0.11447186,0.15374636,0.00764475,0.00534122,0.11138856,0.15568461,0.00744366,0.00358295,0.11138856,0.15568461,0.00744366,0.00358295,0.11375754,0.16272601,0.0084,0.0039,17583
