"ESOL predicted log solubility in mols per litre","Minimum Degree","Molecular Weight","Number of H-Bond Donors","Number of Rings","Number of Rotatable Bonds","Polar Surface Area","measured log solubility in mols per litre","Structure of smiles [idcode]","smiles","Nr"
"-1.2429999999999999","1","238.15899999999996","1","2","3","118.04999999999998","-3.38","fhiIPBHRTxBBVCBT]dTtRVRbbKNN|uMSTtl@@","O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ","71"
"-5.361000000000001","1","284.09799999999996","0","2","3","52.37","-5.46","fdyaaBODCDDQJH}L^rJJIIJEKJLEYtDDP@S@@@","Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2","72"
"-2.158","1","152.237","0","2","0","17.07","-1.96","dmLH@@RYiYKnUjjjh@@","CC1(C)C2CCC1(C)C(=O)C2","73"
"-2.36","1","244.25","2","2","3","75.27000000000001","-2.369","fdyQ`@DX@pRSJswJkSghmTsPPI@@@","O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1","74"
"-1.899","1","130.18699999999998","0","0","4","26.3","-2.25","diDD@@QIeWZjh@@","CCCCC(=O)OCC","75"
"-1.817","1","130.18699999999998","0","0","3","26.3","-1.92","diDD@@QIgVZjh@@","CC(C)CCOC(=O)C","76"
"-4.1530000000000005","1","380.444","1","3","8","75.71","-5.886","fcoPP@DXApP\bbbRTrbbbRVVqQFY{T[USU@C@DET@@@","O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3","77"
"-5.7620000000000005","1","257.547","0","2","1","0.0","-6.01","foA@C@@QAhbtPdsKNkLeitD@@T@@@","Clc1cccc(c1)c2cc(Cl)ccc2Cl ","78"
"-1.949","1","122.993","0","0","1","0.0","-1.73","gC`HAbIKT@@","CCCBr","79"
"-4.603","1","342.2260000000001","0","3","5","49.17","-3.4930000000000003","ffcpa@GAJJPHcTPdsJtzJkNFmdlAAUUURqP@@","CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl","80"
"-2.0869999999999997","1","257.27299999999997","0","0","6","55.84","-1.995","dgnBpEpil@bOA@cHiDdcMDuUST`@","COP(=S)(OC)SCC(=O)N(C)C=O","81"
"-1.24","1","146.15299999999996","0","2","0","51.56","-0.466","dmL`@@rnRfUoh^d@@B@@@","Cc1ncnc2nccnc12","82"
"0.32899999999999996","1","76.12400000000001","2","0","0","52.04","0.32","gCdHE`DILt@@","NC(=S)N","83"
"-3.035","1","106.16799999999999","0","1","0","0.0","-2.77","daD@@DjWzXHB@@","Cc1ccc(C)cc1","84"
"-3.6010000000000004","1","134.22199999999998","0","1","2","0.0","-3.28","deT@@DjYUXPbH`@@","CCc1ccccc1CC","85"
"-4.215","1","236.74","0","0","0","0.0","-3.67","dax@X@bDbLbJbFbNbLbdLeUT@@","ClC(Cl)(Cl)C(Cl)(Cl)Cl","86"
"-6.877999999999999","1","451.46900000000005","0","3","9","68.55000000000001","-6.876","eh\XBD@BlKGI`IABPrJYQIYQQSFISISZIHRPY[xFj@BijjpBH@@@@@","CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3","87"
"-0.816","1","89.09399999999998","0","0","2","43.14","-0.8","gGX`hEIWIMkU@@","CCCN(=O)=O","88"
"-2.516","1","154.253","0","1","1","17.07","-2.35","dmtH@@RYeeZVjjj@@","CC(C)C1CCC(C)CC1=O","89"
"-4.423","1","273.723","1","3","1","45.230000000000004","-5.36","fluqB@FJuDDPdrmrrkmNF\EL@QTE@a@@@","CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ","90"
"-3.322","1","192.00100000000003","0","1","1","43.14","-3.48","dmvDQFePbBbFe^RYfvxXH`X@@","O=N(=O)c1c(Cl)c(Cl)ccc1","91"
"-3.063","1","254.35500000000002","2","1","5","58.2","-3.46","fhqPb@DXXH@Pdrl}r{ScULuUMPeP@","CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ","92"
"-4.957","2","202.25599999999997","0","4","0","0.0","-6.0","f`y@@@LdbbRbavSI\tISo@@DP@@@@@","c1ccc2c(c1)c3cccc4cccc2c34","93"
"-1.354","1","102.17699999999998","0","0","3","9.23","-1.34","gNq@AdbbMUP@","CCCOC(C)C","94"
"-4.147","1","156.22799999999998","0","2","0","0.0","-4.29","dcl@@LdbbbRkRJ`@PD@@@","Cc1cc(C)c2ccccc2c1","95"
"-5.074","1","268.356","2","2","4","40.46","-4.07","fbu@`@@YRYWYeg_hrJX@Ij``H@@@","CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ","96"
"-3.995","1","265.914","0","1","0","47.58","-5.64","dg]@HMlH`hah`xaIf[mWi`bHnp@@","c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1","97"
"-6.312","1","291.992","0","2","1","0.0","-7.25","f`q@@`@QAHcTQzHRYg^YugKN``HHB@@@","Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2","98"
"-1.8259999999999998","2","120.15099999999995","0","2","1","12.53","-1.6","diTH@@RgeXSaj@BH``@","C1OC1c2ccccc2 ","99"
"-3.265","1","120.19499999999995","0","1","1","0.0","-3.27","did@@DjUfaBB`@@","CC(C)c1ccccc1","100"
"-3.9389999999999996","1","330.4680000000001","1","4","2","54.370000000000005","-3.45","fa{A`@@U{dTRTtRaRfbQfhqVg^ceijjjjjfjh@@","CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO","101"
"-4.438","1","267.93","0","2","0","25.78","-5.43","dg}@HEtH`hah`XaIf[oWiNxHb@@@@","c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ","102"
"0.601","1","150.13","4","1","0","90.15","0.39","deTJ@@qaeJYyzzjjj@@","C1OC(O)C(O)C(O)C1O","103"
"-1.156","1","84.93299999999999","0","0","0","0.0","-0.63","eMABHXaIh@","ClCCl","104"
"-4.1","1","156.22799999999998","0","2","1","0.0","-4.17","dcl@@DjYe]iEP@HB@@@","CCc1cccc2ccccc12","105"
"-0.048","1","60.05200000000001","0","0","1","26.3","0.58","gC``@deZ@@","COC=O","106"
"-2.318","1","139.10999999999999","1","1","1","63.37","-1.74","deVLAHAFbTyInYqehH@@@","Oc1ccccc1N(=O)=O","107"
"-0.78","1","126.115","2","1","0","65.72","-1.506","dieD@DpFrJIJFnZii@@","Cc1c[nH]c(=O)[nH]c1=O ","108"
"-1.891","1","58.123999999999995","0","0","0","0.0","-2.55","gC`@H}P@","CC(C)C","109"
"-0.8340000000000001","1","268.22900000000004","4","3","2","133.75","-1.23","fluIP@LF]DDeZSdbbbbRTUVQJV\FMUUU@`U@@@","OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23","110"
"-4.615","1","370.91499999999996","1","1","0","44.019999999999996","-3.61","dmvHPEHJsjsHhhmDVFBBK@@","Oc1c(I)cc(C#N)cc1I","111"
"-5.032","1","327.1230000000001","2","2","3","92.47","-4.7","fjmPQBBRTZpPQAXbTv{HhhddiihXlfBSfBBIfB@`@@","Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O","112"
"-2.261","1","72.151","0","0","2","0.0","-3.18","gJP@DiZh@","CCCCC","113"
"-1.9909999999999999","1","94.11299999999999","1","1","0","20.23","0.0","gOq@@drm\@@@@","c1ccccc1O","114"
"-3.7889999999999997","1","193.249","1","3","0","26.02","-5.17","foQ`@@@ILkZjmFRUYt@@@@@@@@","Nc3ccc2cc1ccccc1cc2c3 ","115"
"-1.05","1","180.16699999999997","1","2","0","72.68","-2.523","dk\d@DsmB\bbbTrQXUujjUj`@","Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ","116"
"-2.531","2","129.16199999999998","0","2","0","12.89","-1.45","dev@@@Re[TjFP@@@@@","c1ccc2cnccc2c1","117"
"-5.106","1","367.86","0","1","7","38.77","-4.4319999999999995","fjua``NJbdDPxH}xABLbbRrbbfJdrhr@Bijij`@@","COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1","118"
"-4.22","1","162.276","0","1","5","0.0","-5.21","dcL@@DjU_VnBBJh@@","CCCCCCc1ccccc1","119"
"-4.5280000000000005","1","188.657","0","2","1","0.0","-4.54","dk\@`@bDfYYwZ]NB@@@@@","Clc1ccccc1c2ccccc2","120"
"-2.3480000000000003","1","84.16199999999999","0","0","2","0.0","-3.03","gGP@Dj}j`@","CCCC(=C)C","121"
"-3.2760000000000002","1","114.23199999999999","0","0","2","0.0","-4.8","dax@@DjYjjh@@","CC(C)C(C)C(C)C","122"
"-5.167999999999999","1","250.339","0","1","0","0.0","-5.65","dmt@h@bBbFbAbEbDfYn~fBHb@@","Clc1cc(Cl)c(Cl)c(Cl)c1Cl","123"
"-2.318","1","139.10999999999999","1","1","1","63.37","-1.01","deVLAHAAbTyInUneh@`@@","Oc1cccc(c1)N(=O)=O","124"
"-3.781","1","140.26999999999998","0","0","7","0.0","-5.51","ded@@DkUUZjj@@","CCCCCCCCC=C","125"
"-1.285","1","218.20499999999998","0","0","5","78.9","-0.6","do\F@@Savtf^UVYjjjY`@","CC(=O)OCC(COC(=O)C)OC(=O)C","126"
"-3.57","1","209.29299999999998","1","1","4","49.25000000000001","-2.24","doH@DxPrJIQQKSFn`BJjh@@","CCCCc1c(C)nc(nc1O)N(C)C ","127"
"-6.84","1","434.29400000000015","0","3","6","59.32000000000001","-7.337000000000001","fkac@OJtTDPbH{HYELhhcLheLeLeLeQfZ{OSUTuV@QP@P@@@","CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2","128"
"-1.4809999999999999","2","79.10199999999998","0","1","0","12.89","0.76","gFx@@eJf`@@@","c1ccncc1","129"
"-3.366","1","179.101","0","0","5","0.0","-4.43","dax@`@qDeUZjh@@","CCCCCCCBr","130"
"-2.0669999999999997","1","107.15599999999999","0","1","0","12.89","0.36","daF@@@Re[J`@h@@","Cc1ccncc1C","131"
"-3.1719999999999997","1","380.45600000000013","3","4","2","94.83","-3.43","fmoAR@AUZMXICHiEHhhhblXdhye^uYtTejjjijjiijj@@","CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ","132"
"-2.855","1","225.313","1","1","4","38.33","-2.09","do~D`KxpBLdRTtRVagZhHHZ@@","CCSCc1ccccc1OC(=O)NC ","133"
"-1.413","1","160.16899999999998","0","0","4","52.60000000000001","-0.82","dmTB@@SarJIIPijij@@","CCOC(=O)CC(=O)OCC","134"
"-3.429","1","136.238","0","1","1","0.0","-4.26","deT@@DjWvifjijFh@","CC1=CCC(CC1)C(C)=C","135"
"-3.057","2","118.17899999999997","0","2","0","0.0","-3.04","diT@@DjYVnXPbH`@@","C1Cc2ccccc2C1","136"
"-3.1919999999999997","1","150.22099999999998","1","1","0","20.23","-2.41","dmtH@@RYWZih@Jh@@","CC(C)(C)c1ccc(O)cc1","137"
"-0.08800000000000001","1","154.125","2","2","0","75.27","-1.886","dmML@DpFEIeYzneVjYj`@","O=C2NC(=O)C1(CC1)C(=O)N2 ","138"
"-4.3839999999999995","1","238.45499999999998","0","1","0","0.0","-3.55","daD@P@kFbDfUjz@H@@","Clc1cccc(I)c1","139"
"-4.434","1","207.07","0","2","0","0.0","-4.35","dmL@`@qLbbbTQ[iV@@@@@@","Brc1cccc2ccccc12","140"
"-2.076","1","70.135","0","0","1","0.0","-2.54","gJP@DiVhPP","CC/C=C/C","141"
"-2.0980000000000003","1","107.156","0","1","0","12.89","0.45","daF@@@RfYk`H`@@","Cc1cccc(C)n1","142"
"-2.312","1","131.389","0","0","0","0.0","-1.96","gJPLADJHLPdwS@@","ClC=C(Cl)Cl","143"
"-2.721","1","143.189","1","2","0","26.02","-1.92","dmN@@@rJJIQEneX@@@@@","Nc1cccc2ccccc12","144"
"-3.035","1","106.16799999999999","0","1","0","0.0","-2.82","daD@@DjWjXHB@@","Cc1cccc(C)c1","145"
"-1.4040000000000001","1","148.125","1","2","0","71.79","-1.9469999999999998","dmLh@DqiAIe[VneX@@@@@","Oc2ncc1nccnc1n2","146"
"0.441","1","32.042","1","0","0","20.23","1.57","eFHBL@","CO","147"
"-2.312","1","226.27599999999998","2","1","4","75.27000000000001","-2.468","f`aQ`@DX@pRSJsvoTxuSMUU@@@","CCC1(CCC(C)C)C(=O)NC(=O)NC1=O","148"
"-0.491","1","72.107","0","0","1","17.07","0.52","gJQ@@dru@@","CCC(=O)C","149"
"-0.792","1","130.078","2","1","0","65.72","-1.077","dieD`JXaBPRYgvzejX@@","Fc1c[nH]c(=O)[nH]c1=O ","150"
"-0.892","1","266.257","4","3","2","126.65","-1.95","fluHP@LFbdDeZrQQQQIJJkHeKNCFjjj`PJ`@@","Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ","151"
"-1.59","1","110.11199999999998","2","1","0","40.46","0.81","daDD@@YIeZn`B@@@","Oc1cccc(O)c1","152"
"-1.3969999999999998","1","102.17699999999999","1","0","4","20.23","-1.24","gNq@@djmUP@","CCCCCCO","153"
"-2.294","1","106.596","0","0","3","0.0","-2.73","gGPHADIJmU@@","CCCCCCl","154"
"-1.376","1","54.09199999999999","0","0","1","0.0","-1.87","gC`@Die@@","C=CC=C","155"
"-1.125","1","102.13299999999998","0","0","2","26.3","-0.72","gNp`@df]Zj@@","CCCOC(=O)C","156"
"-3.0860000000000003","1","148.205","1","2","0","20.23","-1.99","dmLH@@RYVuiiV@BjH@@","Oc2ccc1CCCCc1c2 ","157"
"-0.106","1","93.513","1","0","1","43.09","-0.02","gJYHCaDIKTp@","NC(=O)CCl ","158"
"-6.148","1","413.0","0","1","4","27.69","-6.62","f`aAb`IFlBlIDBbE^F`aIf]]kV\``Jfj@@@","COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl","159"
"-3.2969999999999997","1","126.586","0","1","0","0.0","-3.08","daD@`@bDfUzZ@B@@","Cc1ccc(Cl)cc1","160"
"-2.324","1","214.29399999999998","1","1","1","73.8","-2.253","dg\h`LJfd@aJ[Ywkaijejh@@","CSc1nnc(c(=O)n1N)C(C)(C)C","161"
"-6.39","1","368.3690000000001","0","3","6","44.760000000000005","-6.01","feg@R@HHpPGaddfRTTTTRRRLsCUKRcZj`@B@@H`H@h@@","Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1","162"
"-1.4569999999999999","1","100.16099999999999","0","0","4","17.07","-1.3","gNq@@djkUP@","CCCCCC=O","163"
"-3.0389999999999997","1","193.24599999999998","1","1","4","52.32","-3.082","dg^D@KADfVUWYujBBJ@@","CCCCOC(=O)c1ccc(N)cc1","164"
"-3.049","1","255.277","1","3","0","68.45","-3.043","flup`@DZBAVQQQQSQIYJbT[shmT@P@QP@@@","O2c1cc(C)ccc1N(C)C(=O)c3cc(N)cnc23 ","165"
"-2.603","1","154.253","1","0","4","20.23","-2.46","dmTH@@RUgVijf`aD","CC(C)=CCC/C(C)=C\CO","166"
"-5.142","1","223.102","0","2","1","0.0","-5.28","dg|@P@bKbDfYYwvgS``@@`@@","Clc1ccc(cc1)c2ccccc2Cl ","167"
"-4.84","1","408.498","1","3","10","75.71","-6.523","eg`TB@@DL@NA@lbbbRTrbbbRVVqRQCFWUPsUSU@C@DEUP@@@","O=C1N(COC(=O)CCCCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3","168"
"-0.462","1","75.067","0","0","1","43.14","-0.22","gJX`hEIWIMmP@","CCN(=O)=O","169"
"-5.063","1","333.266","0","1","6","89.51999999999998","-6.124","fn}pSAIZ\Zw``dDRFIBTzfwA{HiCDeDheCBeAJj`BIiji`@@","CCN(CC(C)=C)c1c(cc(cc1N(=O)=O)C(F)(F)F)N(=O)=O","170"
"-4.546","1","215.894","0","1","0","0.0","-4.57","deT@H@bBbFbAbDfYnzXHb@@@","Clc1ccc(Cl)c(Cl)c1Cl","171"
